1.!(X | Y) & (!X | !Z)
		X		Y		Z		!(x|y)		(!x|!Z)		!(X | Y) & (!X | !Z)
		0		0		0		1				1				1	
		0		0		1		1				1				1
		0		1		0		0				1				0
		0		1		1		0				1				0
		1		0		0		0				1				0
		1		0		1		0				0				0
		1		1		0		0				1				0
		1		1		1		0				0				0

2.!(!X|Y)|(X&!Z)
		X		Y		Z		!(!X|Y)		(X&!Z)		!(!X|Y)|(X&!Z)
		0		0		0			0			0			0
		0		0		1			0			0			0
		0		1		0			0			0			0
		0		1		1			0			0			0
		1		0		0			1			1			1
		1		0		1			1			0			1
		1		1		0			0			1			1
		1		1		1			0			0			0
						
						
3.X|!Y & !(X|!Z)
		X		Y		Z		X|!Y		!(X|!Z)			(X|!Y) & !(X|!Z)
		0		0		0		1				1					1
		0		0		1		1				0					0
		0		1		0		0				1					0
		0		1		1		0				0					0
		1		0		0		1				1					1
		1		0		1		1				1					1
		1		1		0		1				1					1
		1		1		1		1				1					1
